factor,neo_cha_mean_sd,neo_cha_test,cha_mean_sd,cha_test,rutin_mean_sd,rutin_test,hyperoside_mean_sd,hyperoside_test,isoquercetin_mean_sd,isoquercetin_test,quercetin_mean_sd,quercetin_test
1,1114.1   ±   65.9,qrs,590.6   ±   31.9,op,521.1   ±   49.2,bc,6.3   ±   1.0,ij,57.6   ±   3.1,ij,22.6   ±   2.7,def
2,722.1   ±   42.7,st,770.3   ±   41.6,nop,598.3   ±   56.5,b,5.2   ±   0.8,ij,87.2   ±   4.8,gh,10.1   ±   1.2,h-n
3,1965.1   ±   116.2,l-o,1304.3   ±   70.5,mn,463.3   ±   43.7,cd,6.1   ±   0.9,ij,47.1   ±   2.6,jk,39.4   ±   4.6,b
4,675.5   ±   40.0,stu,404.7   ±   21.9,p,342.8   ±   32.4,ef,2.4   ±   0.4,j,49.3   ±   2.7,jk,83.5   ±   9.8,a
5,668.0   ±   39.5,stu,346.6   ±   18.7,p,409.5   ±   38.7,de,6.4   ±   1.0,ij,37.1   ±   2.0,klm,13.7   ±   1.6,g-k
6,2490.6   ±   147.3,g-k,2224.1   ±   120.2,kl,270.7   ±   25.6,fgh,176.5   ±   26.9,def,136.5   ±   7.4,d,8.5   ±   1.0,i-n
7,3202.8   ±   189.4,def,9222.4   ±   498.4,b,233.2   ±   22.0,g-j,55.5   ±   8.5,hij,47.2   ±   2.6,jk,10.3   ±   1.2,h-n
8,2036.3   ±   120.4,k-n,2213.2   ±   119.6,kl,98.4   ±   9.3,l-o,127.2   ±   19.4,fgh,131.7   ±   7.2,d,6.7   ±   0.8,j-n
9,2744.9   ±   162.3,f-i,4330.1   ±   234.0,fg,182.2   ±   17.2,h-m,163.4   ±   24.9,d-g,191.5   ±   10.4,c,15.4   ±   1.8,f-i
10,1818.2   ±   107.5,mno,3028.7   ±   163.7,ij,255.6   ±   24.1,f-i,83.9   ±   12.8,ghi,61.8   ±   3.4,ij,10.3   ±   1.2,h-n
11,2835.9   ±   167.7,e-h,1252.2   ±   67.7,no,206.4   ±   19.5,h-k,226.2   ±   34.5,cd,176.4   ±   9.6,c,7.9   ±   0.9,i-n
12,2248.7   ±   133.0,i-m,4834.1   ±   261.2,ef,104.8   ±   9.9,l-o,293.3   ±   44.8,c,182.7   ±   10.0,c,12.9   ±   1.5,g-k
13,4581.0   ±   270.9,b,10009.5   ±   540.9,a,154.6   ±   14.6,j-m,214.4   ±   32.7,cd,216.8   ±   11.8,b,11.2   ±   1.3,h-m
14,2207.4   ±   130.6,j-m,2770.2   ±   149.7,jk,151.7   ±   14.3,j-m,239.2   ±   36.5,cd,186.7   ±   10.2,c,14.3   ±   1.7,f-j
15,1994.2   ±   117.9,k-o,3572.8   ±   193.1,hi,162.9   ±   15.4,i-m,189.1   ±   28.9,def,252.8   ±   13.8,a,11.9   ±   1.4,h-l
16,1511.3   ±   89.4,opq,839.9   ±   45.4,nop,331.8   ±   31.3,efg,6.5   ±   1.0,ij,17.9   ±   1.0,mn,7.6   ±   0.9,i-n
17,1060.1   ±   62.7,qrs,810.2   ±   43.8,nop,426.8   ±   40.3,cde,6.7   ±   1.0,ij,23.1   ±   1.3,lmn,2.8   ±   0.3,mn
18,901.5   ±   53.3,rst,368.8   ±   19.9,p,514.8   ±   48.6,bc,6.6   ±   1.0,ij,15.5   ±   0.8,n,13.2   ±   1.5,g-k
19,666.7   ±   39.4,stu,438.4   ±   23.7,p,341.6   ±   32.3,ef,3.3   ±   0.5,ij,10.9   ±   0.6,n,5.6   ±   0.7,k-n
20,823.9   ±   48.7,rst,626.9   ±   33.9,op,892.3   ±   84.3,a,2.3   ±   0.4,j,19.7   ±   1.1,lmn,11.9   ±   1.4,h-l
21,1636.5   ±   96.8,nop,2249.2   ±   121.5,kl,126.3   ±   11.9,k-o,160.9   ±   24.6,d-g,75.9   ±   4.1,hi,25.2   ±   3.0,de
22,3523.7   ±   208.4,cd,3713.1   ±   200.7,gh,267.2   ±   25.2,fgh,377.3   ±   57.6,b,7.1   ±   0.4,n,29.4   ±   3.4,cd
23,2784.0   ±   164.7,fgh,2147.5   ±   116.1,kl,150.2   ±   14.2,j-m,210.1   ±   32.1,de,214.9   ±   11.7,b,11.8   ±   1.4,h-l
24,409.5   ±   24.2,tu,380.2   ±   20.5,p,190.7   ±   18.0,h-l,27.1   ±   4.1,ij,23.9   ±   1.3,lmn,17.8   ±   2.1,e-h
25,2611.4   ±   154.4,g-j,4160.8   ±   224.8,gh,36.9   ±   3.5,o,26.8   ±   4.1,ij,38.3   ±   2.1,kl,3.9   ±   0.5,lmn
26,3550.9   ±   210.0,cd,1926.0   ±   104.1,lm,384.6   ±   36.3,de,18.6   ±   2.8,ij,60.2   ±   3.3,ij,35.2   ±   4.1,bc
27,4001.8   ±   236.7,c,2297.2   ±   124.1,kl,371.5   ±   35.1,de,24.7   ±   3.8,ij,59.4   ±   3.2,ij,3.5   ±   0.4,lmn
28,3985.5   ±   235.7,c,5344.6   ±   288.8,de,155.8   ±   14.7,i-m,204.4   ±   31.2,def,65.3   ±   3.6,ij,39.4   ±   4.6,b
29,2452.3   ±   145.0,g-l,5636.2   ±   304.6,d,89.8   ±   8.5,mno,132.4   ±   20.2,e-h,125.3   ±   6.8,de,21.5   ±   2.5,d-g
30,1268.5   ±   75.0,pqr,3898.4   ±   210.7,gh,47.9   ±   4.5,no,59.4   ±   9.1,hij,88.6   ±   4.8,gh,25.4   ±   3.0,de
31,2345.6   ±   138.7,h-l,3516.4   ±   190.0,hi,100.2   ±   9.5,l-o,15.3   ±   2.3,ij,17.7   ±   1.0,n,2.8   ±   0.3,mn
32,7031.9   ±   415.9,a,8207.6   ±   443.5,c,462.2   ±   43.6,cd,559.9   ±   85.5,a,8.5   ±   0.5,n,11.1   ±   1.3,h-m
33,549.1   ±   32.5,tu,409.1   ±   22.1,p,138.4   ±   13.1,j-n,27.6   ±   4.2,ij,96.9   ±   5.3,fg,5.5   ±   0.6,k-n
34,177.8   ±   10.5,u,224.2   ±   12.1,p,151.4   ±   14.3,j-m,3.7   ±   0.6,ij,108.6   ±   5.9,ef,2.1   ±   0.2,n
35,2935.7   ±   173.6,efg,4300.4   ±   232.4,fg,40.1   ±   3.8,no,34.6   ±   5.3,ij,6.1   ±   0.3,n,10.8   ±   1.3,h-m
36,3335.3   ±   197.3,de,4265.7   ±   230.5,fg,271.2   ±   25.6,fgh,67.2   ±   10.3,hij,38.1   ±   2.1,kl,34.9   ±   4.1,bc
